kasvupinnas*;;topsoil;;;;
katastritunnus*;;cadastral code;;;;
katastriüksus*;;cadastral unit;;;;
katkestatav* võimsus*;;interruptible capacity;pigem 'non-firm capacity' (ilmselt on mõeldud vastandina 'kindlale võimsusele');;;
katkestustundide arv*;;loss of load expectation;miks inglise keeles sõna 'expectation'?;;;
katoodjaam*;;cathodic station;;;;
katoodkaitse*;;cathodic protection;;;;
katoodkaitsejaam*;;cathodic protection station;;;;
kaubanduslik* elektribilans|s;;commercial electricity balance;;;;
kaugjuhtimissignaal*;;remote control signal;;;;
kaugloetav*;;remote-read;;;;
kauplemisperiood*;;trading period;;;;
kauplemispäev*;;day of trading, trading day;;;;
keemili|ne ohutegur*;;chemical hazard;;;;
keevislii|de;;weld;;;;
keevitussead|e;;welding equipment;;;;
keevitustöö*;;welding work;;;;
Keskkonnaamet*;;Environmental Board;;;;
keskkonnahoiukava*;;environmental protection plan;;;;
keskkonnajuhtimissüsteem*;;environmental management system;;;;
keskkonnaklas|s;;environmental class;;;;
Keskkonnaministeerium*;;Ministry of the Environment;;;;
keskkonnamõju*;;environmental impact;;;;
keskkonnasõbralik*;;environmentally friendly;;;;
keskmi|ne katkestustundide arv*;;average loss of load expectation;miks inglise keeles sõna 'expectation'?;;;
keskpinge*;;medium voltage;;;;
kiirsulgekraan*;;slam shut valve;;;;
killustik*;;crushed aggregate;;;;
killustikalus*;;crushed aggregate base;;;;
killustikfilt|er;;crushed aggregate filter;;;;
killustikkat|e;;crushed aggregate covering;;;;
kil|p;;circuit panel;;;;
kind|el võimsus*;;firm capacity;Firm ei ole minu arvates parim siin kontekstis, kas ei peaks olema predetermined capacity?;;;
kinni|ne meetod*;;no-dig method;;;;
kinnisas|i;;immovable property, real estate;;;;
kinnistusraamat*;;land register;;;;
kliendipoliitika*;;customer policy;;;;
kliendirahulolu*;;customer satisfaction;;;;
kliima-aasta*;;climatic year;;;;
kogunõudlus*;;total demand;;;;
kogutarbimi|ne;;total consumption;;;;
kohalik* tootmisvõimsus*;;local generation capacity;;;;
kohtvibratsioon*;;local vibration;;;;
kommunikatsioonid*;;utility lines;;;;
kompaktalajaam*;;compact substation;;;;
kompensaator*;;compensator;;;;
komplektalajaam*;;integrated substation;;;;
kompressorjaam*;;compressor plant;gas compressor station;;;
konservatiiv|ne tootmisseadmete stsenaarium*;;conservative generation equipment scenario;;;;
;;;;;;
konverterjaam*;;converter station;;;;
koormusprognoos*;;load forecast;;;;
koostootmi|ne;;co-generation;;;;
;;;;;;
koostootmisjaam*;;co-generation plant;'CHP plant' ehk combined heat and power production plant, aga cogeneration plant või CHP plant on kõik ok;;;
korrigeeritud EVA*;;adjusted EVA;;;;
kraanisõlm*;;valve station;;;;
kraavkaevik*;;trench;;;;
kuumtsingitud;;hot-dip galvanized;;;;
kuumtsingitud teras*;;hot-dip galvanized steel;;;;
kõrgepinge*;;high voltage;;;;
kõrgepingelabor*;;high-voltage laboratory;;;;
kõrgepingeliin*;;high-voltage line;;;;
kõrgnähtav* riietus*;;high-visibility clothing;;;;
käidukorraldaja*;;operation and maintenance coordinator;;;;
käigutee*;;gangway;;;;
käsihürdovasar*;;hand-held hydraulic hammer;;;;
käsiteadusti*;;handheld detector;;;;
küberturbejuh|t;;head of cyber security;;;;
küberturvalisus*;;cybersecurity;;;;
küljekaitsmetega kaitseprillid*;;safety glasses with side shields;;;;
laadimissead|e;;charging equipment;;;;
laht|er;;cell;;;;
Lairiba Arenduse Sihtasutus*;;Broadband Development Foundation;;;;
lammutusjäätme|d;;demolition waste;;;;
lendkeha*;;flying object;;;;
lendkeha kiirus*;;flying object speed;;;;
ligipääsuõigus*;;access right;;;;
lihthan|ge;;simple procurement;;;;
lihthankemenetlus*;;simple procurement procedure;;;;
liikurmasin*;;mobile machinery;;;;
liinide käidukorraldaja*;;operation and maintenance coordinator for power lines;;;;
;;;;;;
liinide rekonstrueerimi|ne;;renovation of lines;;;;
liinide reservsead|med;;reserve equipment for lines;;;;
liinijuh|t;;phase wire;;;;
liinikoridor*;;line corridor;;;;
liinikraan*;;pipeline valve;;;;
liinikraanisõlm*;;pipeline valve station;;;;
liinilaht|er;;line compartment;;;;
liinilõi|k;;line segment;;;;
liinirajatis*;;line facility;;;;
liitumiskil|p;;connection panel;;;;
liitumisleping*;;connection contract;;;;
liitumispakkumi|ne;;connection offer;;;;
liitumisprotsess*;;connection process;;;;
liitumispunkt*;;connection point;;;;
liitumispunkti pinge*;;voltage at the connection point;;;;
liitumistaotlus*;;connection application;;;;
liitumistasu*;;connection fee;;;;
liitumisvõimsus*;;connection capacity;;;;
likviidsus*;;liquidity;;;;
loomulik* ventilatsioon*;;natural ventilation;;;;
lubatav* kõrvalekal|le;;permitted deviation;;;;
lubatav* töörõh|k;;permitted operating pressure;;;;
lõpptarbija*;;end consumer;;;;
läbilaskevõime*;;transmission capacity;;;;
lähtekood*;;source code;;;;
löögijõud*;;impact force;;;;
lühi-ajali|ne teenus*;;short-term service;;;;
lühisvõimsus*;;short-circuit power;;;;
lülitusaparaa|t;;switching device;;;;
maagaas*;;natural gas;;;;
maagaasi ülekandevõr|k;;natural gas transmission network;;;;
maagaasi tarbimi|ne;;consumption of natural gas;;;;
maagaasiseadus*;;Natural Gas Act;;;;
maakaab|el;;underground cable, buried cable;;;;
maakaabelliin*;;underground cable line, buried cable line;;;;
maanduskontuur*;;ground loop;;;;
maanduslat|t;;earthing busbar;;;;
maanduspaneel*;;earthing panel;;;;
maandusvõr|k;;earthing network;;;;
maastikupõleng*;;wildfire, brush fire;;;;
madal* tarbimise hinnatundlikkus*;;low price sensitivity of consumption;;;;
madalaim* tehnili|ne ülekandevõimsus* normaaltalitusel;;lowest technical transmission capacity under normal service;;;;
madalsoo*;;fen;;;;
mahuvaru*;;capacity reserve;linepack on õige;;;
Majandus- ja kommunikatsiooniministeerium*;;Ministry of Economic Affairs and Communications;;;;
majanduslik* lisandväärtus*;;"economic value added; EVA";;;;
maksimumvõimsus*;;maximum capacity;;;;
manteltoru*;;casing pipe;;;;
manuaal|ne sagedusreserv*;;manual frequency restoration reserve;;;;
